arch,fold,epoch,train_loss,val_f1,val_acc,val_kappa
DeepSleepNet,0,1,0.8511444698568642,0.27698555341596665,0.18099454103399237,0.09872262707143764
DeepSleepNet,0,2,0.5875737625911407,0.3425967839298694,0.2913436396164962,0.15604096656040378
DeepSleepNet,0,3,0.5356282721637156,0.3743329404243975,0.3730675719069682,0.19815325739187506
DeepSleepNet,0,4,0.4999500005162571,0.38237154294948134,0.3895820909216019,0.20866971524525701
DeepSleepNet,0,5,0.47011466379640965,0.5000841398270369,0.5663333180421121,0.35931869732202004
DeepSleepNet,0,6,0.4512873538820148,0.4272319122842433,0.49071058305426857,0.2719815441209533
DeepSleepNet,0,7,0.43713826653474325,0.4215758385791356,0.45561723014817196,0.2485212604748056
DeepSleepNet,0,8,0.4204375475586457,0.5202607306662027,0.5953942841414743,0.3888544459101638
DeepSleepNet,0,9,0.40825544289270216,0.49914326275848186,0.5282352401486307,0.32370692998475314
DeepSleepNet,0,10,0.39841045373675277,0.4868285854420321,0.6266801229414193,0.4024598815874786
DeepSleepNet,0,11,0.38951316013961534,0.4745226974811237,0.5177531079407313,0.3087357523344151
DeepSleepNet,0,12,0.37947503839607555,0.5628770292401907,0.6524611220698198,0.45652072789539444
DeepSleepNet,0,13,0.37111891662168994,0.563909830299872,0.6311986788384788,0.43054623213144483
DeepSleepNet,0,14,0.3634786980744953,0.5525008402983586,0.6095692462957016,0.40181423664600413
DeepSleepNet,0,15,0.35636950103289494,0.5623845185864267,0.6538143951557411,0.44661538247981647
DeepSleepNet,0,16,0.3483597857615706,0.5538038473584969,0.6469562823982752,0.43110501342240704
DeepSleepNet,0,17,0.343053279397185,0.5447620170621029,0.5983760722968944,0.3922459136041784
DeepSleepNet,0,18,0.33614074407308386,0.5695243689372378,0.6393412541859719,0.4400273981972235
DeepSleepNet,0,19,0.3263295758405706,0.533745814775483,0.5855085095646589,0.38387809838752984
DeepSleepNet,0,20,0.32660703712684214,0.6108765085313987,0.7298041194550209,0.53847606991028
DeepSleepNet,0,21,0.31747782604371433,0.5770660656558444,0.6191339052250103,0.423846242962731
DeepSleepNet,0,22,0.3103802118820368,0.5805110463639405,0.6256020918390752,0.4293265813985899
DeepSleepNet,0,23,0.3098235497491081,0.5940945563398398,0.6859259599064177,0.4904315130064414
DeepSleepNet,0,24,0.30100476197603515,0.5772673058615181,0.6686545254369467,0.47149439671792137
DeepSleepNet,0,25,0.29648404022566666,0.5848330348124731,0.6536538373319877,0.4546744888677209
DeepSleepNet,0,26,0.29262202989306363,0.6111375432939696,0.7017065002981788,0.5175757901225124
DeepSleepNet,0,27,0.28413020761916186,0.6221988468265042,0.7403550621588146,0.5589108897741542
DeepSleepNet,0,28,0.2809499345331534,0.5923366460502837,0.6454653883205652,0.45077521510757723
DeepSleepNet,0,29,0.2767686644311369,0.5956635482397538,0.688288453598789,0.4931212241386783
DeepSleepNet,0,30,0.27487590740963214,0.6250638576303638,0.734253864856186,0.5477145019368097
DeepSleepNet,0,31,0.27072459881284594,0.6404418461474845,0.7320289921556035,0.54941599743559
DeepSleepNet,0,32,0.26390290653551474,0.6287316872985095,0.715193357493463,0.5281200876819709
DeepSleepNet,0,33,0.2613826254721559,0.6683011162807013,0.7705858066883802,0.6050092074877855
DeepSleepNet,0,34,0.25595162885964456,0.6219847138769097,0.7384971787696684,0.5545498098343606
DeepSleepNet,0,35,0.25195412943277035,0.6314311515633173,0.755011697784302,0.5752777625419598
DeepSleepNet,0,36,0.24595642925474245,0.6536835773592576,0.776274141015643,0.6066312063524997
DeepSleepNet,0,37,0.24169896560366644,0.674365555926723,0.8027891187669159,0.6460025849612542
DeepSleepNet,0,38,0.23852714997324306,0.6627458475574803,0.7838662323959815,0.6180271529984207
DeepSleepNet,0,39,0.24099420181923384,0.684270641126653,0.7980641313821735,0.6427300138849936
DeepSleepNet,0,40,0.23312050012127916,0.6532598920373356,0.7544841506491123,0.5825364704413308
DeepSleepNet,0,41,0.22794161264513,0.6720388423811696,0.8090508738932979,0.6533511576654103
DeepSleepNet,0,42,0.2266652428745608,0.7023615817432736,0.8339832102390018,0.6930010198982429
DeepSleepNet,0,43,0.21948408808617786,0.6531186954761496,0.7533831827148034,0.5799911291183142
DeepSleepNet,0,44,0.2178779384240347,0.6886643236591533,0.7946006697554934,0.6382637350399825
DeepSleepNet,0,45,0.21635227245090927,0.701118104056116,0.8025138767833386,0.648076691382664
DeepSleepNet,0,46,0.21239015571703512,0.695316757536107,0.8249002247809533,0.6782929031787853
DeepSleepNet,0,47,0.210732179031787,0.687993455637882,0.8356117253085004,0.6916137447207039
DeepSleepNet,0,48,0.2061593476792792,0.6930662395866617,0.8088444424056149,0.6576572487787187
DeepSleepNet,0,49,0.20371627332741118,0.6921212421375106,0.8083168952704253,0.655802741773106
DeepSleepNet,0,50,0.2009134585241125,0.707644042259512,0.8484104775448416,0.71349965441183
DeepSleepNet,1,1,0.8254042484722394,0.2733707860517466,0.1883442317789127,0.12152817054671683
DeepSleepNet,1,2,0.5680061526286865,0.3026077278996538,0.2010643883346857,0.1293033324927534
DeepSleepNet,1,3,0.5135648835696335,0.3191201290428428,0.19516968163810797,0.12398743144685631
DeepSleepNet,1,4,0.47700544723963095,0.27218820592956083,0.19204333922008496,0.10128598831915092
DeepSleepNet,1,5,0.45123020998568875,0.3401631886716155,0.2593193642308243,0.15943017244800162
DeepSleepNet,1,6,0.4298559361025873,0.3631943869879598,0.25991599446327146,0.15495680761543806
DeepSleepNet,1,7,0.41428011676938725,0.3732722909132632,0.2964536298983342,0.17116138895271804
DeepSleepNet,1,8,0.4037232466497456,0.4365992481295019,0.3879767075557253,0.2352070163102793
DeepSleepNet,1,9,0.39366515801632024,0.44429086929841477,0.4446804448475013,0.2736339452421327
DeepSleepNet,1,10,0.38198586566451126,0.4725037336909324,0.4613860913560212,0.2912476934262207
DeepSleepNet,1,11,0.37241889957548063,0.34657758073340317,0.361343133979285,0.20435483797266207
DeepSleepNet,1,12,0.36346392122195226,0.487262647505203,0.526275595436972,0.3288411874138363
DeepSleepNet,1,13,0.35453446395604127,0.3943864273490971,0.3965204524843683,0.2342587903802399
DeepSleepNet,1,14,0.349185728363711,0.4644472840038856,0.5234833659491194,0.326309869743049
DeepSleepNet,1,15,0.3414829485683103,0.5395489054957461,0.5538399121760298,0.3663435307103863
DeepSleepNet,1,16,0.33321912314168983,0.5009479160672496,0.5578731325473725,0.36485182440720365
DeepSleepNet,1,17,0.3259056926611583,0.5834994660688995,0.6511383704835091,0.45668247868017575
DeepSleepNet,1,18,0.3220494059996092,0.5125625582155978,0.5407140470621927,0.35668624681521377
DeepSleepNet,1,19,0.3173582816801619,0.49524899995880134,0.6356498496491815,0.4321530239979031
